Policy ID,Customer ID,Year,Policy Type,Premium,Deductible,Coverage Type,Premium Increase (%),Previous Year Claims,Previous Year Missed Payments,Churn
10001_2019,10001,2019,Auto,1300.0,,Basic,8.0,1,0,1
10002_2019,10002,2019,Life,4229.0,2043.0,Standard,4.0,1,1,1
10003_2019,10003,2019,Auto,3433.0,603.0,Standard,13.0,2,0,1
10004_2019,10004,2019,Auto,4169.0,3478.0,Standard,5.0,1,0,0
10005_2019,10005,2019,Life,2538.0,2782.0,Premium,9.0,0,0,0
10006_2019,10006,2019,Health,3753.0,535.0,Basic,13.0,1,2,1
10007_2019,10007,2019,Health,1896.0,1389.0,Standard,14.0,0,1,1
10008_2019,10008,2019,Home,2446.0,3680.0,Standard,4.0,1,0,1
10009_2019,10009,2019,Auto,4579.0,2741.0,Standard,2.0,0,0,0
10010_2019,10010,2019,Health,,970.0,Premium,3.0,1,2,1
10011_2019,10011,2019,Auto,1325.0,2038.0,Basic,14.0,0,0,1
10012_2019,10012,2019,Life,4270.0,3588.0,Standard,13.0,1,1,1
10013_2019,10013,2019,Home,46481.0,2859.0,Basic,16.0,1,0,1
10014_2019,10014,2019,Life,2512.0,,Basic,19.0,2,0,1
10015_2019,10015,2019,Life,2434.0,1115.0,Basic,10.0,0,0,0
10016_2019,10016,2019,Life,4334.0,889.0,Standard,2.0,2,0,1
10017_2019,10017,2019,Health,3303.0,1177.0,Premium,16.0,1,0,1
10018_2019,10018,2019,Health,,1590.0,Premium,7.0,2,0,1
10019_2019,10019,2019,Life,1444.0,2658.0,Premium,19.0,2,2,1
10020_2019,10020,2019,Auto,4028.0,99999.0,Standard,8.0,0,1,1
10021_2019,10021,2019,Auto,4928.0,3799.0,Standard,,2,0,1
10022_2019,10022,2019,Health,1445.0,3991.0,Standard,,0,0,1
10023_2019,10023,2019,Life,3217.0,543.0,Premium,7.0,2,0,1
10024_2019,10024,2019,Auto,,3282.0,Basic,5.0,0,1,1
10025_2019,10025,2019,Health,3556.0,1376.0,Premium,2.0,1,1,0
10026_2019,10026,2019,Auto,3066.0,2978.0,Premium,6.0,1,2,1
10027_2019,10027,2019,Health,4442.0,4110.0,Standard,1.0,2,2,1
10028_2019,10028,2019,Health,4875.0,1794.0,Basic,7.0,1,0,0
10029_2019,10029,2019,Auto,1533.0,1440.0,Standard,18.0,0,2,1
10030_2019,10030,2019,Life,,3398.0,Basic,16.0,2,0,1
10031_2019,10031,2019,Auto,4333.0,909.0,Basic,16.0,0,2,1
10032_2019,10032,2019,Health,3893.0,1564.0,Basic,,2,1,1
10033_2019,10033,2019,Health,4155.0,3036.0,Basic,19.0,0,1,1
10034_2019,10034,2019,Life,3391.0,2899.0,Premium,5.0,2,1,1
10035_2019,10035,2019,Health,3498.0,4103.0,Standard,8.0,2,0,1
10036_2019,10036,2019,Auto,2450.0,3505.0,Standard,15.0,2,0,1
10037_2019,10037,2019,Health,1652.0,1950.0,,14.0,1,1,1
10038_2019,10038,2019,Home,2354.0,1328.0,Basic,13.0,0,1,1
10039_2019,10039,2019,Health,2620.0,1119.0,Premium,7.0,0,1,1
10040_2019,10040,2019,Home,3167.0,3597.0,Standard,,0,2,1
10041_2019,10041,2019,Auto,1420.0,1057.0,Basic,14.0,0,0,0
10042_2019,10042,2019,Life,21681.0,4449.0,Premium,8.0,2,2,1
10043_2019,10043,2019,Auto,3029.0,4315.0,Premium,15.0,2,1,1
10044_2019,10044,2019,Home,1655.0,3357.0,Standard,19.0,2,1,1
10045_2019,10045,2019,Health,3117.0,4968.0,Standard,0.0,1,1,1
10046_2019,10046,2019,Auto,3711.0,3249.0,,16.0,0,0,1
10047_2019,10047,2019,Health,1410.0,3818.0,Standard,19.0,1,2,1
10048_2019,10048,2019,Health,2942.0,4986.0,Standard,11.0,0,0,0
10049_2019,10049,2019,Auto,1699.0,3959.0,Basic,8.0,1,0,1
10050_2019,10050,2019,Health,1777.0,2865.0,Basic,10.0,0,2,1
10051_2019,10051,2019,Life,1399.0,2687.0,Standard,2.0,2,0,1
10052_2019,10052,2019,Auto,4386.0,3613.0,Premium,9.0,1,1,1
10053_2019,10053,2019,Health,3374.0,4721.0,Basic,8.0,0,1,1
